model,params,acc,f1_macro,kappa,val_rmse,val_corr,val_ccc,aro_rmse,aro_corr,aro_ccc
ResNet50,23528522,0.41125,0.3983989352290364,0.324980383585988,0.4024035930633545,0.5457930103016334,0.47957583853942726,0.36603131890296936,0.40248126268907225,0.3553634050276229
MobileNetV2,2236682,0.3925,0.38949712351590066,0.30624327521693284,0.405094712972641,0.5372122808252863,0.47133298606256213,0.38471177220344543,0.3350949549474004,0.24076140943919058
Custom-LSE-ResNet,359650,0.1625,0.15074655576429277,0.05224164301691303,0.4771502912044525,0.12585841567092326,0.03596556395866598,0.3885440230369568,0.06120902559690074,0.016539140599541716
Custom-LSE-ResNetV2,810314,0.26625,0.22465731814326026,0.1628353071000337,0.4689024090766907,0.43026780888294003,0.41830918415351936,0.42073625326156616,0.2656094367268366,0.24530066641900458
